Id,X,Y
2643780,711200,7206400
2695658,711800,7206400
2706703,711800,7206400
2876705,711800,7206400
3168649,711200,7206400
3682448,711200,7206400
3827050,711800,7206400
3834927,711200,7206400
3839135,711200,7206400
1242136,711900,7206400
1807053,712400,7205900
2895244,711900,7206400
3563026,711900,7206400
89383,712200,7206200
438979,712200,7206200
744829,712200,7206200
889031,712200,7206200
1023239,712200,7206200
1692101,712200,7206200
1990683,712200,7206200
2441766,712200,7206200
3158186,712200,7206200
3309716,712200,7206200
541763,712300,7206100
628703,712100,7206300
808669,712300,7206100
1147551,711500,7206500
1393613,711500,7206500
1612708,711500,7206500
1751818,712100,7206300
2092445,712300,7206100
2117857,712100,7206300
2740793,711500,7206500
2762785,712100,7206300
2771439,712100,7206300
2979696,712100,7206300
2988424,712300,7206100
3281640,712300,7206100
3389517,712100,7206300
3673862,712100,7206300
3758337,712100,7206300
342979,711600,7206500
364145,711400,7206500
396283,711600,7206500
526608,711600,7206500
1119698,711400,7206500
1302901,711400,7206500
1765997,711400,7206500
1823933,711400,7206500
2057786,711600,7206500
3413427,711400,7206500
3427910,711400,7206500
171407,711300,7206500
226274,711300,7206500
383907,711700,7206500
391926,711300,7204500
592491,711300,7206500
1681194,711300,7206500
1937773,711700,7206500
2708371,711300,7206500
3261818,711300,7206500
3592106,711300,7206500
3646525,711300,7204500
37969,712400,7206000
70907,712400,7206000
719961,712400,7206000
1118464,712400,7206000
1819991,712400,7206000
3301753,712400,7206000
3659427,712400,7206000
84111,711200,7206500
177114,711200,7206500
206935,711200,7206500
537723,711200,7206500
1044419,711200,7206500
1104234,711800,7206500
1677081,711800,7206500
1698118,711200,7206500
1875388,711800,7206500
2384511,711200,7206500
3298431,711800,7206500
3450834,711800,7206500
3556268,711200,7206500
3789034,711800,7206500
127960,712300,7206200
135547,712300,7206200
744221,712300,7206200
1347296,712200,7206300
1631360,712300,7206200
2397456,712200,7206300
3071065,712300,7204800
3707078,712300,7204800
3817966,712300,7206200
200583,711100,7206500
321862,711900,7206500
415803,711900,7206500
667765,711900,7206500
1172346,711900,7206500
1431287,711900,7206500
1482148,711900,7206500
2279314,711100,7206500
2309445,711900,7206500
2340553,711100,7206500
2402904,711100,7206500
2428651,711900,7206500
2834968,711100,7206500
3716426,711100,7206500
3761695,711100,7206500
633474,712400,7206100
1027513,712100,7206400
1135084,712100,7206400
1270788,712100,7206400
1406751,712100,7206400
1472011,712100,7206400
1545283,712100,7206400
1890294,712100,7206400
1972646,712100,7206400
1994972,712100,7206400
2123839,712400,7206100
2343095,712100,7206400
2548592,712100,7206400
2790268,712100,7206400
3131782,712100,7206400
3234045,712100,7206400
3342895,712400,7206100
3448121,712100,7206400
1238369,711500,7206600
318858,711400,7206600
342002,711400,7206600
1907171,711400,7206600
2230404,711400,7206600
2995831,711400,7206600
705432,711300,7206600
936675,711700,7206600
942440,711700,7206600
1081235,711300,7206600
1097841,711700,7206600
1227484,712500,7206000
1389325,712500,7206000
1444951,712500,7206000
1483094,711700,7206600
1847801,711700,7206600
2025783,712500,7206000
2501212,711300,7206600
2725535,711700,7206600
2785162,712500,7206000
3733278,711700,7206600
3815164,711700,7206600
429625,711200,7206600
466968,711800,7206600
675879,711200,7206600
732798,711800,7206600
759523,711200,7206600
800627,712400,7206200
861596,711800,7206600
884717,712200,7206400
957705,712200,7206400
1101377,712200,7206400
1172700,712200,7206400
1188046,712200,7206400
1307359,711200,7206600
1344139,712200,7206400
1405341,712200,7206400
1422493,712200,7206400
1526915,711200,7206600
1647626,712200,7206400
